"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","198904","235.367","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198905","272.129","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198906","205.233","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198907","262.613","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198908","215.839","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198909","255.633","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198910","250.129","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198911","323.033","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198912","287.581","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198913","268.551","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199001","413.258","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199002","281.714","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199003","301.129","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199004","233.533","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199005","259.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199006","332.533","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199007","308.097","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199008","360.29","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199009","278.867","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199010","172.871","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199011","176.767","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199012","242.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199013","280.315","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199101","327.452","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199102","245.5","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199103","221.613","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199104","281.733","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199105","308.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199106","304","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199107","202.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199108","181.774","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199109","205.2","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199110","234.903","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199111","278.133","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199112","247.032","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199113","253.074","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199201","206.194","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199202","218.414","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199203","214.581","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199204","182.267","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199205","201.742","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199206","144.4","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199207","179.032","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199208","261.097","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199209","184.333","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199210","185.677","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199211","170.6","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199212","203.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199213","196.128","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199301","152.903","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199302","256.357","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199303","184.839","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199304","258.233","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199305","228.355","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199306","169.033","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199307","246.226","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199308","240.806","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199309","191.533","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199310","316.935","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199311","222.133","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199312","169.032","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199313","219.501","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199401","224.129","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199402","226.071","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199403","278.355","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199404","245.367","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199405","261.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","199406","178.367","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
